XX,text
BOCKEN_NMP_2018_EXPERIMENTING_WITH_A_CIRC,"experimentation is an important capability in the transition to a sustainable business. the aim of business experimentation is to learn and improve business model innovation activities with limited risks and resources through continuous and collective learning with stakeholders. through action research we worked with eight case companies on a pathway to becoming a sustainable business. we focused on circular economy as a driver for sustainability. the process and role of business model experimentation were analysed. a circular business experimentation framework was developed and applied. we found that ) experimentation creates internal and external engagement to start business sustainability transitions ) experiments can help test assumptions in every building block of the business model ) collaboration with external partners can ease experimentation, and ) experimentation processes are iterative and require regular learning and sustainability checks. further research is necessary to analyse how sustainability targets can be integrated into the experimentation process. elsevier b.v."
TRUFFER_B_2015_THE_GEOGRAPHY_OF_SUSTAINA,"transition research has recently been criticized to lack of geographically sensitive concepts to address sustainability transitions and environmental innovation processes. this has generated a number of suggestions how space, place and scale can be better incorporated into transitions studies. moreover, it has led to a quickly growing number of empirical studies that explicitly deal with geographical aspects of transition processes. this special issue takes stock of these recent developments by assembling a set of eight exemplary papers that illustrate the added value of an explicitly geographical perspective on sustainability transitions. the contributions include a conceptual paper, a literature review and six empirical papers that offer representative examples of recent work. taken together, these contributions testify to the vitality of the emerging research on the geography of sustainability transitions. this introduction to the special issue provides an overview of the special issue and offers suggestions for future research. elsevier b.v. all rights reserved."
STIRLING_A_2011_PLURALISING_PROGRESS_FRO,"this paper examines key issues raised by consideration of diversity in the study of environmental innovation and societal transitions. in different ways and degrees, these implicate many contrasting perspectives, including innovation studies, evolutionary economics and transitions research. the paper therefore attends equally to the implications of plurality among disciplines as observing subjects and varieties of sociotechnical configurations as observed objects. inspired by recent literatures in these fields, the argument focuses in turn on: contending social normativities concerning alternative directions for innovation; divergent disciplinary understandings of societal transitions; and disparate conceptualisations of sociotechnical diversity itself. in each area, the paper identifies some persistent forms of 'misplaced concreteness'. recommendations are made as to how the implications of diversity might be addressed in more rigorous and reflective ways. in conclusion, it is shown how rigour and reflexivity themselves depend on plural analytical communities paying greater regard to diversity and striking their own balance between pluralism and concreteness. this highlights a series of specific, but hitherto unresolved, research questions. elsevier b.v. all rights reserved."
QUITZOW_R_2015_DYNAMICS_OF_A_POLICY_DRIV,"the rise of chinese solar energy firms has taken many experts by surprise. german policy makers and researchers alike had suggested that the country's ambitious deployment policies would translate into a competitive advantage for the german solar photovoltaics industry. this paper argues that these expectations rested on an outdated model of the international diffusion of innovation. building on the technological innovation system (tis) framework and the related system functions approach, the paper thus proposes a new approach for capturing the global dynamics of innovation and industrial development in emerging technology fields. focusing on a period of dynamic growth in the field of crystalline-based pv technologies, the paper highlights how a set of dynamic and mutual inter-dependencies between an industrialized country (i.e. germany) and an emerging economy (i.e. china) have driven the development and diffusion of technology in the field. published by elsevier b.v. all rights reserved."
HOLTZ_G_2015_PROSPECTS_OF_MODELLING_SO,"societal transitions involve multiple actors, changes in institutions, values and technologies, and interactions across multiple sectors and scales. given this complexity, this paper takes on the view that the societal transitions research field would benefit from the further maturation and broader uptake of modelling approaches. this paper shows how modelling can enhance the understanding of and support stakeholders to steer societal transitions. it discusses the benefits modelling provides for studying large societal systems and elaborates on different ways models can be used for transitions studies. two model applications are presented in some detail to illustrate the benefits. then, limitations of modelling societal transitions are discussed, which leads to an agenda for future activities: () better cooperation in the development of dynamic models, () stronger interaction with other transition scholars and stakeholders, and () use of additional modelling approaches that we think are relevant to and largely unexplored in transitions studies. elsevier b.v. all rights reserved."
KLITKOU_A_2015_THE_ROLE_OF_LOCK_IN_MECHA,"this paper revisits the theoretical concepts of lock-in mechanisms to analyse transition processes in energy production and road transportation in the nordic countries, focussing on three technology platforms: advanced biofuels, e-mobility and hydrogen and fuel cell electrical vehicles. the paper is based on a comparative analysis of case studies. the main lock-in mechanisms analysed are learning effects, economies of scale, economies of scope, network externalities, informational increasing returns, technological interrelatedness, collective action, institutional learning effects and the differentiation of power. we show that very different path dependencies have been reinforced by the lock-in mechanisms. hence, the characteristics of existing regimes set the preconditions for the development of new transition pathways. the incumbent socio-technical regime is not just fossil-based, but may also include mature niches specialised in the exploitation of renewable sources. this implies a need to distinguish between lock-in mechanisms favouring the old fossil-based regime, well-established (mature) renewable energy niches, or new pathways. the authors. published by elsevier b.v."
ELZEN_B_2012_ANCHORING_OF_INNOVATIONS,"in the multi-level perspective (mlp), two key levels are socio-technical regimes and technological niches. the linking processes between these levels, however, are not well understood. we use the concept of anchoring as a starting point towards a theory of linking and distinguish three forms: technological, network and institutional anchoring. our case study concerns attempts to reduce energy consumption in the dutch glasshouse horticulture sector, consisting of a variety of alternative energy approaches. distinguishing the three forms of anchoring appears to be useful for studying and understanding the interactions between novelty, niche and regime. the study reveals that 'hybrid actors' and 'hybrid forums' play a crucial role in bringing about various forms of anchoring. these findings are not only of analytical interest, but also relevant for practitioners who desire to induce system innovation to contribute to sustainability. elsevier b.v. all rights reserved."
WITTMAYER_JM_2017_ACTOR_ROLES_IN_TRANSITION,"to date, the field of transition research lacks a suitable vocabulary to analyse the (changing) interactions and relations of actors as part of a sustainability transition. this article addresses this knowledge gap by exploring the potential of the concept of roles from social interaction research. the role concept is operationalized for transition research to allow the analysis of (changing) roles and relations between actor roles as indicative of changes in the social fabric and shared values, norms and beliefs. it also allows considering the use of roles as a transition governance intervention. this includes creating new roles, breaking down or altering existing ones and explicitly negotiating or purposefully assigning roles, as well as the flexible use of roles as resources. the authors"
PRENDEVILLE_S_2018_CIRCULAR_CITIES_MAPPING,"urbanisation and climate change are urging cities to chart novel paths towards sustainable futures. many cities are turning to the alluring circular economy (ce) concept to guide this redirection. the ce concept re-imagines how flows of resources moving through economies might be closed. here, we explore this new circular city agenda by asking: how are cities adopting ce as a strategy?. we found that political leadership, building adaptable future visions, using experimental approaches (such as living labs), developing contextual knowledge about resource use, and engaging with diverse stakeholders to be important. however, we also expose that there is a lack of consensus on what a circular city constitutes and a need to further untangle the how and why of the circular city concept. the research contributes to the field by outlining emergent cases, identifying a set of common policy strategies, conceptualising a circular city and identifying areas for future research. elsevier b.v."
LAUBER_V_2016_THE_POLITICS_AND_ECONOMIC,"this paper addresses the politics and economics of constructing, contesting and reducing the ""socio-political space"" for renewables connected to the german renewable energy act (eeg). the political discourse is traced, revealing a gulf between ""fit and conform"" versus ""stretch and transform"" narratives. the former focus on short-term consumer costs, short learning periods and cost reductions from r-and-d rather than from market formation. the latter focus on total costs and acknowledge the need for lengthy learning periods and market formation to reduce costs. the version of the ""fit and conform"" narrative which recently became dominant, misrepresents the eeg surcharge, exaggerates the ""burden"" by ignoring external costs of fossil generation and doesn't consider inter-generational equity issues. this reflects the defensive reactions of a politically entrenched industry caught in a process of creative destruction, appealing to political actors such as the european commission by invoking europe's industrial competitiveness and (ideologically shared) technology-neutral policies. elsevier b.v. all rights reserved."
DAIM_TU_2012_EVALUATION_OF_ENERGY_STOR,"solving climate change and the associated need for increasing renewable energy supply make energy storage a critical technological component of the future energy landscape. research to build more reliable and cost-effective energy storage technologies is now on the rise. as a result, many new technologies and applications are evolving and competing. this paper presents a method to evaluate and select energy storage technologies for investor-owned or public utilities. for this purpose, energy storage applications which could benefit wind power in the pacific northwest region of the united states are identified through internal interviews and surveys with experts at the federal wholesale power marketing agency in portland, oregon. the study employs a technology evaluation process integrating fuzzy delphi method, analytic hierarchy process and fuzzy consistent matrix. the result shows that compressed air storage is the most promising technology for sustainable growth of renewable energy in the region. elsevier b.v. all rights reserved."
JACKSON_T_2011_PRODUCTIVITY_AND_WORK_IN,"this paper explores the concept of productivity in post-growth economies. it defines the 'productivity trap' that arises from the systematic pursuit of labour productivity and describes two solutions to this trap, each of which has some precedence in economic theory. the first is to reduce working hours - the most frequently cited avenue to combat unemployment in non-growing economies. the second is to engage in structural shifts towards low productivity growth sectors. using a simple simulation model of the uk economy we illustrate how these two strategies might combine to achieve 'deep' carbon emission reduction targets while maintaining high employment. elsevier b.v. all rights reserved."
SENGERS_F_2015_TOWARD_A_SPATIAL_PERSPECT,"this paper responds to recent criticism from geographers that the 'local-global' niche model in transition studies is spatially nave. a number of relevant geography literatures (buzz-pipelines, global production networks, policy mobilities) are mobilized to develop a more geographically nuanced understanding of niche development. the result complements the original model by providing center stage to () the spatialities of the production and transfer of knowledge, () the geographies of the actor networks involved and () the dynamics of embeddedness by which these global networks and knowledge discourses become entangled with place-specific power relationships, institutions and infrastructures. to illustrate this empirically, we trace the tortuous innovation journey of bus rapid transit - a promising new mode of urban transportation that is spreading rapidly across the globe. elsevier b.v. all rights reserved."
MARKARD_J_2015_THE_TECHNOLOGICAL_INNOVAT,"the technological innovation systems framework (tis) is widely used to study the emergence and growth of new technological fields and industries. at the same time, it has been criticized for a number of issues and innovation scholars have made suggestions of how to improve the framework. in this viewpoint, we respond to six areas of criticism: () tis context, () system delineation, () spatial aspects, () transitions, () politics, and () policy recommendations. we point to promising conceptual developments of how to address shortcomings and highlight needs for further research. we also discuss the prospects of the tis approach for the analysis of socio-technical transitions. the tis framework, in our view, has the potential to outgrow its original scope - explaining the dynamics and performance of a technological field - and to address many of the issues relevant when studying transitions. elsevier b.v. all rights reserved."
SCHMIDT_TS_2012_THE_EFFECTS_OF_CLIMATE_PO,"this article aims to empirically assess the impact of climate policy on technological change-a core objective of climate policy-by focussing on the changes it causes in the rate and direction of corporate innovation activities. to this end, we develop a cross-sectional framework based on concepts from evolutionary economics and organizational theory and, resting upon this framework, develop a set of hypotheses. we test these hypotheses using novel survey data on the electricity sector in seven eu countries. we find that the eu emission trading system (ets) has limited and even controversial effects, and that long-term emission reduction targets are an important determinant of corporate innovation activities. furthermore, technology policies emerge as an important element of the policy mix complementing climate policy. based on our findings in this study, we make recommendations for policy makers on how to improve the existing policy mix. elsevier b.v. all rights reserved."
FIGENBAUM_E_2017_PERSPECTIVES_ON_NORWAY_S,"norway has achieved an unprecedented breakthrough for battery electric vehicles. the market share reached .% in , and the total fleet passed .%, some vehicles. the multilevel perspective framework demonstrate how norwegian incentives and policies gradually developed over a year period through interactions between the international landscape, national governance networks, regimes and niches. actors have been able to utilize windows of opportunities leading to the potential establishment of a bev regime assimilated into the ice regime from . bev incentives, some of which have been in place since , did not yield results until the traditional vehicle manufacturers manufactured bevs based on li-ion batteries from . norwegian purchase incentives are large enough to make electric vehicles a competitively priced alternative for vehicle buyers. increased selection of models, improved technology, reduced vehicle prices, and extensive marketing have spurred further sales. the author"
HESS_DJ_2016_THE_POLITICS_OF_NICHE_REG,"in the u.s. utilities have attempted to slow the growth of distributed generation (dg) solar by reversing policy support, and they have greater financial and political resources than the solar industry. empirical analysis of all major cases of niche-regime conflict over net metering policies in the u.s. shows that utilities are testing a range of strategies to slow the growth of dg solar, and outcomes vary by strategy type. an additional analysis of four case studies of dg solar conflicts shows that niche organizations can partially overcome the political power of regime organizations via three mechanisms: form coalitions with political parties that support the niche technologies, gain support from countervailing industrial organizations, and form coalitions with social movements to mobilize political protests and petitions. the political opportunity structure (in this case the party in control of the state government) affects the pattern of niche-regime strategies and interactions. the authors. published by elsevier b.v."
JOHNSTONE_P_2018_SUSTAINABILITY_TRANSITION,"sustainability transitions is an emerging field of research that has produced both conceptual understandings of the drivers of technological transitions, as well as more prescriptive and policy-engaged analyses of how shifts from unsustainable to sustainable forms of production and consumption can be achieved. yet attention towards the role of the state is underdeveloped in the field. the significance of this neglect has become more apparent in particular due to the heightened urgency around the need to tackle climate change and energy security, where there are increasing calls for an enhanced role for the state. this paper sets out to advance understandings of the multiple and conflicting roles that states play in transitions. it first addresses key weaknesses in the way the state has been examined thus far. second, it highlights theoretical resources and conceptualisations of the state that can help scholars of transitions open up new and more productive avenues for understanding drivers and barriers to sustainable transitions drawing on examples from different sectors, regions and issue areas. elsevier b.v."
MARTISKAINEN_M_2017_THE_ROLE_OF_COMMUNITY_LEA,"this article focuses on the role of community leadership in the development of grassroots innovations. it asks: when community leaders initiate energy projects, what types of skills and knowledge practices do they utilise to nurture grassroots innovations? grassroots innovations are usually driven by social and sustainability motives, and developed by civil society groups. based on a mixed methods approach including research interviews and site visits, the article draws on previous literature on community leadership, grassroots innovations and niche literature. community leadership is analysed via two in-depth community energy cases in the uk. research findings show that community leadership can aid the development of grassroots innovations, which operate in niches and require nurturing. community leadership benefits from being embedded into social networks, shared vision and decision making, but pre-existing skills and tacit knowledge also play a role. community leaders can also assist niche building by working closely with intermediary actors. the author"
GRIN_J_2011_ON_PATTERNS_AND_AGENCY_IN,"the transition perspective on promoting sustainable development recognizes a need for not merely new societal practices, but changes in the structures in which these practices are embedded, and which have co-evolved with earlier practices ('the regime'). this article presents insights on the dynamics of sustainable transitions, developed within the context of the dutch ksi programme, and identifies issues for further research. two perspectives, the sociotechnical approach and the complex adaptive systems approach, have yielded typologies of transition trajectories. we discuss similarities of, and differences between, these. third, the governance perspective has generated insights about the agency involved, including powering and legitimization. while the latter offers some response to scholarly criticism that earlier transition theory too much ignored aspects of power and legitimacy, more research is obviously needed. elsevier b.v. all rights reserved."
HLSCHER_K_2018_TRANSITION_VERSUS_TRANSFO,"transition and transformation have become buzzwords in political and scientific discourses. they signal the need for large-scale changes to achieve a sustainable society. we compare how they are applied and interpreted in scientific literatures to explore whether they are distinct concepts and provide complementary insights. transition and transformation are not mutually exclusive; they provide nuanced perspectives on how to describe, interpret and support desirable radical and non-linear societal change. their differences may partially result from their etymological origins, but they largely stem from the different research communities concerned with either transition or transformation. our review shows how the respective approaches and perspectives on understanding and interpreting system change can enrich each other. the authors"
NSS_P_2012_SUSTAINABLE_URBAN_DEVELOP,"this article discusses some challenges and possible adaptations of transition theory as a framework for analyzing the prospects for environmentally more sustainable development of urban land use and transport infrastructure. rather than depending first and foremost on niche innovations, a transition toward sustainable urban development is a matter of changing the composition of existing multi-segmented land use and transportation regimes. those well-experienced forms of built environment and transport infrastructure that are in line with sustainability objectives should be strengthened while those that are not should be actively constrained and reduced. urban development in a danish provincial city is used as a case to illustrate some of the points made in the theoretical part of the article. due to the wide gap between present conditions and those required to realize a sustainable urban development, more attention should be directed toward landscape level conditions and possibilities for changing them. elsevier b.v."
SIERZCHULA_W_2012_THE_COMPETITIVE_ENVIRONME,"this study analyzes the industrial dynamics of electric vehicles using product life cycle and eco-innovation concepts. a unique database of approximately electric vehicle prototype and production models from to was collected and analyzed. this research largely focused on three factors that become fluid during a transitional era of ferment (the technology, the set of firms and the target market). results show that since , the number of companies producing electric vehicle (ev) models has substantially increased with startup firms comprising a majority of that growth. the variety of battery types used in ev models has expanded, largely through lithium-ion chemistries. large incumbents and startup firms have targeted different consumer markets with their ev models. startup firms developed ev models for niche markets (sports cars and low speed vehicles) while large incumbents generally developed ev models that are more in line with current customer demands. elsevier b.v. all rights reserved."
HORBACH_J_2016_EMPIRICAL_DETERMINANTS_OF,"the determinants of eco-innovation activities have been widely explored for single countries. however, there is a lack of analyses comparing different countries. the community innovation survey (cis ) allows for an analysis of the determinants of eco-innovation in different european countries. this paper focuses on eastern europe as the determinants of eco-innovation have not yet been systematically analyzed for these countries. concerning the introduction of eco-innovations, this analysis shows that regulation activities and environmentally related subsidies seem to be more important for the eastern countries than they are for the ""richer"" western european countries. furthermore, the eastern european countries rely more on competitors and external r-and-d as information sources, indicating a technology transfer from west to east. elsevier b.v. all rights reserved."
SCHULTE_UG_2013_NEW_BUSINESS_MODELS_FOR_A,"beginning with an analysis of the business constraints imposed by increasingly scarce resources, in this paper i make the case for a 'circular economy'. the principles of this approach are outlined, as is the need for new business models. i also discuss incentives to stimulate enterprises to enter the circular economy. elsevier b.v. all rights reserved."
HEISKANEN_E_2015_THE_LOCAL_COMMUNITY_AS_A,"strategic niche management (snm) conceives of local experiments within protected spaces as important initiators of learning and empowerment of new sustainable technologies. we complement political perspectives on local experiments with evidence on the personal experiences of local and national-level decision makers involved in a finnish programme called carbon-neutral municipalities, which engaged five small municipalities as ""low carbon labs"". the snm literature can benefit from an understanding of how ordinary people experience experiments and interpret their results. we suggest that low-carbon experiments can offer promise to ordinary citizens and politicians by supporting the deployment of new technologies, contributing to local learning, offering outside input, and offering ""proof of principle"" that greenhouse gas emissions can be reduced. however, ordinary people judge experimentation on different criteria than scientists. in order to serve as ""proof of principle"" and encourage people to persist in climate action, local low-carbon experiments cannot afford to fail. elsevier b.v."
FORREST_N_2014_LEARNING_FROM_SUCCESS_T,"driven by concerns over the long-term viability and integrity of their communities people around the world initiate transitions toward sustainability on various levels of society. a particular segment of these initiatives are in small, place-based communities. each initiative presents learning opportunities to build robust transitions that may contribute to progress toward a sustainable society in general. little empirical research has been conducted on how the transition context and process lead to particular outcomes. this article presents an analytical-evaluative framework for appraising the sustainability of transition outcomes and reconstructing transition pathways in order to identify critical success factors. ashton hayes in the u.k. serves as an illustrative case study. the framework may be used for planning and design of transitions, as well as for conducting cross-case comparisons on how transitions work. the ultimate goal is to derive, accumulated over many studies, evidence-informed guidelines to improve the effectiveness of transitions. elsevier b.v."
